job_title,company_name,location,salary,avg_salary
Data Science Intern,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Data Scientist,DISH Network,"Englewood, CO 80113",,0.0
Data Scientist,Transamerica,"Denver, CO 80221",,0.0
"Contractor, Language Tester - Spanish","Alteryx, Inc.","Broomfield, CO 80021",,0.0
Data Scientist,Radian Group Inc.,"Denver, CO",,0.0
Market Research Analyst,Penn Schoen Berland,"Denver, CO",,0.0
Data Scientist,DISH Network,"Englewood, CO 80113",,0.0
Medical Lab Scientist,UCHealth,"Aurora, CO",,0.0
"Sr. Associate, Data Scientist, NLP",KPMG,"Denver, CO 80202 (Lodo area)",,0.0
Production Optimizer,BP,"Denver, CO",,0.0
Data Scientist,Avaya Corporation,"Thornton, CO",,0.0
"Agriculture Data Scientist - Agriculture Commodity Research Engine (ACRE), New Ventures",McKinsey & Company,"Denver, CO",,0.0
Data Scientist/Researcher (~25% profit sharing annually),CACI,"Aurora, CO 80010 (Delmar Parkway area)",,0.0
Data Scientist,ICR,"Denver, CO",,0.0
Postdoctoral Researcher - Energy Analyst for Quantum Information Science,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Associate,Exponent,"Denver, CO",,0.0
Senior Data Scientist,Xactly Corporation,"Denver, CO 80202 (Lodo area)",,0.0
Electric Vehicle Infrastructure Modeling and Data Scientist II,National Renewable Energy Laboratory,"Golden, CO 80401",,0.0
Senior Research Data Analyst,CBRE,"Denver, CO 80203 (Capitol Hill area)",,0.0
SOARS Student Research Internship Announcement,UCAR,"Boulder, CO",,0.0
"Software Engineer Intern, Data Platform (Summer 2019)",Sovrn Holdings,"Boulder, CO",,0.0
Research Software Engineering Intern,Comcast,"Denver, CO 80202 (Lodo area)",,0.0
Snr. Data Scientist,IHS Markit,"Englewood, CO",,0.0
"Data Analyst, Mid",Booz Allen Hamilton,"Buckley AFB, CO",,0.0
